,artist,Date,Genre,Source,Style,Title,new_filename,Content,Type,Gender,,,,
45736,George Romney,1760,portrait,wikiart,Rococo,Reverend Daniel Wilson,420.jpg,single man,indoor portrait,man,,,,
33725,Thomas Gainsborough,1777,portrait,wikiart,Rococo,Carl Friedrich Abel,43073.jpg,single man,indoor portrait,man,,,,
71744,William Hogarth,1747,portrait,wikiart,Rococo,The Mackinen Children,44537.jpg,two children,outdoor portrait,man,,,,
17119,Lorenzo Lotto,1523,portrait,wikiart,High Renaissance,Husband and Wife,4512.jpg,couple,indoor portrait,man,,,,
69034,Angelica Kauffman,1783,portrait,wikiart,Neoclassicism,Ferdinand IV of Naples and his family,45995.jpg,family,outdoor portrait,woman,,,,
9559,Anthony van Dyck,1635,portrait,wikiart,Baroque,Portrait of Philadelphia and Elisabeth Cary,4635.jpg,two children,indoor portrait,man,,,,
67556,Joshua Reynolds,1775,portrait,wikipedia,Rococo,Miss Bowles,4676.jpg,child,outdoor portrait,man,,,,
26126,Thomas Gainsborough,1755,portrait,wikiart,Rococo,John Plampin,47624.jpg,single man,outdoor portrait,man,,,,
34756,William Williams,1780,portrait,wikipedia,Rococo,Gilbert McHutchin,47729.jpg,single man,hunting,man,,,,
33432,John Singleton Copley,1783,portrait,wikiart,Neoclassicism,The Western Brothers,481.jpg,two children,outdoor portrait,man,,,,
6678,Thomas Gainsborough,1785,portrait,wikiart,Rococo,A peasant girl with dog and jug,48837.jpg,boy,outdoor portrait,man,,,,
59401,George Romney,1786,portrait,wikiart,Rococo,"The Honourable Reverend Anchitel Grey (1774-1833), as a Boy",49484.jpg,child,outdoor portrait,man,,,,
31904,John Singleton Copley,1778,portrait,wikiart,Neoclassicism,Sir William Pepperrell and Family,49840.jpg,family,outdoor painting,man,,,,
27719,Charles Willson Peale,1773,portrait,wikipedia,Rococo,The Peale Family,50996.jpg,family,indoor portrait,man,,,,
26151,Thomas Gainsborough,1748,portrait,wikiart,Rococo,The Artist with his Wife and Daughter,51258.jpg,family,outdoor painting,man,,,,
3782,Jean-Honore Fragonard,1780,portrait,wikiart,Rococo,The Love Letter,52303.jpg,single woman,indoor portrait,man,,,,
3483,William Hogarth,1745,self-portrait,wikiart,Rococo,Self portrait,52627.jpg,single man,indoor portrait,man,,,,
63822,Joseph Wright,1779,portrait,wikiart,Romanticism,Thomas and Joseph Pickford as Children,53236.jpg,two children,outdoor portrait,man,,,,
32095,Anthony van Dyck,1630,portrait,wikipedia,Baroque,Philippe Le Roy,53986.jpg,single man,outdoor portrait,man,,,,
55999,Diego Velazquez,1640,portrait,wikiart,Baroque,A Buffoon (incorrectly called Antonio The Englishman),54327.jpg,single man,indoor portrait,man,,,,
72249,Joshua Reynolds,1758,portrait,wikiart,Rococo,"Charles Lennox, 3rd Duke of Richmond and Lennox",54689.jpg,single man,outdoor portrait,man,,,,
62117,Jacopo Pontormo,1535,portrait,wikiart,Mannerism (Late Renaissance),Portrait of a Young Woman,55799.jpg,single woman,indoor portrait,man,,,,
5104,Thomas Gainsborough,1749,portrait,wikiart,Rococo,Mr. and Mrs. Andrews,57030.jpg,couple,hunting,man,,,,
68127,Joshua Reynolds,1771,portrait,wikiart,Rococo,Mrs. Abington,58483.jpg,single woman,outdoor portrait,man,,,,
71297,Joshua Reynolds,1760,portrait,wikiart,Rococo,Ladies Amabel and Mary Jemima Yorke,59670.jpg,two children,outdoor portrait,man,,,,
420,Jan van Eyck,1434,portrait,wikiart,Northern Renaissance,The Arnolfini Wedding. The Portrait of Giovanni Arnolfini and his Wife Giovanna Cenami (The Arnolfini Marriage),60044.jpg,couple,indoor portrait,man,,,,
67038,Joseph Wright,1763,portrait,wikiart,Rococo,Harry Peckham,60591.jpg,single man,outdoor portrait,man,,,,
28421,Jacques-Louis David,1781,portrait,wikiart,Neoclassicism,Equestrian Portrait of Stanislas Kostka Potocki,60719.jpg,moutned man,outdoor portrait,man,,,,
77192,Joshua Reynolds,1776,portrait,wikipedia,Rococo,Lady Caroline Scott as Winter,60830.jpg,child,outdoor portrait,man,,,,
28921,John Singleton Copley,1767,portrait,wikiart,Neoclassicism,Young lady with a bird and dog,61458.jpg,child,indoor portrait,man,,,,
61701,Jean-Marc Nattier,1728,portrait,wikiart,Rococo,Portrait of Alexander Kurakin,61918.jpg,single man,hunting,man,,,,
66560,Joseph Wright,1763,portrait,wikiart,Rococo,Francis Noel Clarke Mundy,6301.jpg,single man,outdoor portrait,man,,,,
39853,Hans Memling,1485,portrait,wikiart,Northern Renaissance,Portrait of a Praying Woman,64348.jpg,single woman,indoor portrait,man,,,,
49371,Diego Velazquez,1632,portrait,wikiart,Baroque,Portrait of Cardinal Infante Ferdinand of Austria with Gun and Dog,64494.jpg,single man,hunting,man,,,,
73303,William Williams,1775,portrait,wikiart,Rococo,"Portrait of a Boy, Probably of the Crossfield Family",67792.jpg,single man,gaming,man,,,,
7910,Vladimir Borovikovsky,1790,portrait,wikiart,Rococo,Naryshkina Elena,69377.jpg,child,outdoor portrait,man,,,,
27452,Paolo Veronese,1561,portrait,wikiart,Mannerism (Late Renaissance),Figures behind the Parapet,72276.jpg,two women,outdoor portrait,man,,,,
58470,George Romney,1763,portrait,wikiart,Rococo,Jacob Morland of Capplethwaite,72429.jpg,single man,hunting,man,,,,
71539,Joshua Reynolds,1755,portrait,wikiart,Rococo,Peter Ludlow,74389.jpg,single man,outdoor portrait,man,,,,
56387,Anthony van Dyck,1633,portrait,wikiart,Baroque,"James Stuart, Duke of Lennox and Richmond",75100.jpg,single man,indoor portrait,man,,,,
70451,Louise Elisabeth Vigee Le Brun,1770,portrait,wikipedia,Rococo,Portrait of Mme D'Aguesseau,75489.jpg,single woman,indoor portrait,woman,,,,
67447,Joshua Reynolds,1782,portrait,wikipedia,Rococo,The Brummell Children,77444.jpg,two children,outdoor portrait,man,,,,
81015,John Russell,1784,portrait,wikiart,Rococo,"Joshua Walker (1750_1815), of Clifton House",77612.jpg,single man,hunting,man,,,,
62061,Thomas Hardy,1778,portrait,wikiart,Baroque,Sir Richard Whitworth in camp at Winchester,7788.jpg,single man,war,man,,,,
87733,Antoine Pesne,1737,portrait,wikiart,Rococo,Portrait of Sophie Dorothea von Preu__n,78664.jpg,single woman,indoor portrait,man,,,,
71896,Joshua Reynolds,1762,portrait,wikipedia,Rococo,"Caroline, Duchess of Marlborough",78741.jpg,single woman,outdoor portrait,man,,,,
33408,Anthony van Dyck,1631,portrait,wikipedia,Baroque,Marie de Raet,8031.jpg,single woman,indoor portrait,man,,,,
65060,Joshua Reynolds,1788,portrait,wikiart,Rococo,"Mrs. and Miss Macklin, with Miss Potts",80764.jpg,three women,outdoor portrait,man,,,,
45199,Gerard Terborch,1668,portrait,wikipedia,Baroque,Memorial Portrait of Moses ter Borch,81579.jpg,single man,outdoor portrait,man,,,,
8771,Diego Velazquez,1636,portrait,wikiart,Baroque,Prince Balthasar Carlos dressed as a Hunter,82609.jpg,boy,hunting,man,,,,
44097,Peter Paul Rubens,1606,portrait,wikiart,Baroque,Equestrian Portrait of Giancarlo Doria,83133.jpg,single man,war,man,,,,
1253,Titian,1525,portrait,wikiart,High Renaissance,Portrait of Federico II Gonzaga,83980.jpg,single man,indoor portrait,man,,,,
48090,Nicolaes Maes,1662,portrait,wikiart,Baroque,A Young Boy with His Dog,84225.jpg,boy,outdoor portrait,man,,,,
68077,Francisco Goya,1786,portrait,wikipedia,Romanticism,The Marquesa de Pontejos,85318.jpg,single woman,outdoor portrait,man,,,,
18305,William Hogarth,1738,portrait,wikiart,Rococo,Portrait of Augusta of Saxe Gotha,86136.jpg,woman with cherubins,indoor portrait,man,,,,
76160,William Hogarth,1739,portrait,wikiart,Rococo,Lord Hervey and His Friends,89549.jpg,family,outdoor portrait,man,,,,
38684,Jean-Marc Nattier,1751,portrait,wikiart,Rococo,Portrait of Madame Maria Zeffirina,90392.jpg,child,indoor portrait,man,,,,
40197,Diego Velazquez,1633,portrait,wikiart,Baroque,Philip IV King of Spain,92278.jpg,single man,hunting,man,,,,
23721,Thomas Gainsborough,1785,portrait,wikipedia,Rococo,Mr. and Mrs. William Hallett (The Morning Walk),94505.jpg,couple,outdoor portrait,man,,,,
3741,Jacopo Pontormo,1533,portrait,wikiart,Mannerism (Late Renaissance),Portrait of a lady in red dress,95191.jpg,single woman,indoor portrait,man,,,,
92715,John Hoppner,1785,portrait,wikiart,Romanticism,Princess Amelia,95265.jpg,child,indoor portrait,man,,,,
76298,Joshua Reynolds,1789,portrait,wikiart,Rococo,"Mary Amelia, 1st Marchioness of Salisbury",96758.jpg,single woman,outdoor portrait,man,,,,
75764,Sofonisba Anguissola,1557,portrait,wikiart,Mannerism (Late Renaissance),"Family Portrait, Minerva, Amilcare and Asdrubale Anguissola",98162.jpg,family,indoor portrait,woman,,,,
94066,Titian,1533,portrait,wikiart,High Renaissance,Portrait of Emperor Charles V with dog,99158.jpg,single dog,,,,,,
50948,Jean-Honore Fragonard,1770,portrait,wikiart,Rococo,Girl with a Dog,42972.jpg,child,,,,,,
76709,Paolo Veronese,1548,portrait,wikiart,Mannerism (Late Renaissance),Portrait of woman with a child and a dog,5568.jpg,family,,,,,,
94211,Titian,1576,portrait,wikiart,Mannerism (Late Renaissance),Youth with Dogs,87452.jpg,child,,,,,,
50973,Jean-Honore Fragonard,1772,portrait,wikipedia,Rococo,Young Woman Playing with a Dog,64944.jpg,single women,,,,,,
79784,Peter Paul Rubens,1618,portrait,wikiart,Baroque,Two young women with a dog,48209.jpg,two women,,,,,,
19831,Dosso Dossi,1525,portrait,wikiart,High Renaissance,Portrait of a young man with a dog and a cat,102882.jpg,single man,,,,,,
